date,adx_value,crossover_count
2024-01-01,2,394
2024-01-16,2,404
2024-01-31,3,409
2024-02-16,3,395
2024-03-02,2,384
2024-03-17,2,370
2024-04-01,2,374
2024-04-17,2,359
2024-05-02,3,356
2024-05-17,2,352
2024-06-01,2,356
2024-06-16,3,345
2024-07-01,3,351
2024-07-16,3,342
2024-07-31,3,342
2024-08-15,3,343
2024-08-30,3,347
2024-09-14,3,352
2024-09-29,3,343
2024-10-14,4,342
2024-10-29,3,358
2024-11-13,3,349
2024-11-28,3,339
2024-12-13,3,354
2024-12-28,3,352
2025-01-12,3,355
2025-01-27,3,341
2025-02-11,3,349
2025-02-26,3,343
2025-03-13,4,337
2025-03-29,3,348
2025-04-13,3,352
2025-04-28,3,352
2025-05-13,3,361
2025-05-28,3,371
2025-06-12,3,371
2025-06-27,3,374
2025-07-12,3,367
2025-07-27,3,373
2025-08-11,3,365
2025-08-26,3,375
2025-09-10,3,373
2025-09-25,3,370
2025-10-10,3,371
